"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C630","2020-05-13 00:00:00","209.000","69.000","2.900","20.600","0.840","989.000","","19.000","-99.000","-99.000","-99.000","23.100","","20.300",""
"C0D550","2020-05-13 00:00:00","1956.000","0.000","0.000","13.300","0.970","812.400","","24.500","-99.000","-99.000","-99.000","18.000","","13.300",""
"C0T9E0","2020-05-13 00:00:00","415.000","14.000","0.300","19.700","0.990","969.200","","6.500","-99.000","-99.000","-99.000","25.200","","19.600",""
"C0U960","2020-05-13 00:00:00","1885.000","5.000","3.200","12.400","0.990","816.000","","5.500","-99.000","-99.000","-99.000","18.900","","12.100",""
"C0AI30","2020-05-13 00:00:00","26.000","71.000","4.600","23.400","0.860","1011.800","","5.000","-99.000","-99.000","-99.000","24.700","","22.600",""
"C0AD30","2020-05-13 00:00:00","20.000","101.000","2.200","24.100","0.710","1009.800","","7.500","-99.000","-99.000","-99.000","25.100","","22.900",""
"C0D430","2020-05-13 00:00:00","87.000","0.000","0.000","21.100","0.990","1000.900","","8.500","-99.000","-99.000","-99.000","24.300","","21.100",""
"C0X210","2020-05-13 00:00:00","38.000","161.000","0.600","23.900","0.970","1005.800","","4.000","-99.000","-99.000","-99.000","29.800","","23.700",""
"C0R680","2020-05-13 00:00:00","13.000","41.000","4.100","25.900","0.840","1011.200","","0.000","-99.000","-99.000","-99.000","32.600","","25.400",""
"C0S990","2020-05-13 00:00:00","409.000","29.000","3.400","22.400","0.930","968.100","","0.000","-99.000","-99.000","-99.000","33.000","","22.300",""
"C0X240","2020-05-13 00:00:00","394.000","195.000","1.300","21.700","0.930","968.400","","13.500","-99.000","-99.000","-99.000","26.800","","21.000",""
"C0I090","2020-05-13 00:00:00","910.000","174.000","0.300","20.100","0.960","912.700","","30.500","-99.000","-99.000","-99.000","23.200","","19.200",""
"C0I490","2020-05-13 00:00:00","1601.000","73.000","0.800","16.700","0.850","842.900","","7.000","-99.000","-99.000","-99.000","19.200","","15.500",""
"C0Z050","2020-05-13 00:00:00","830.000","0.000","0.000","18.600","0.980","924.700","","3.500","-99.000","-99.000","-99.000","26.700","","18.300",""
"C0X150","2020-05-13 00:00:00","18.000","2.000","0.900","25.000","0.890","1011.200","","1.500","-99.000","-99.000","-99.000","30.600","","25.000",""
"C0M690","2020-05-13 00:00:00","33.000","244.000","0.300","23.900","0.940","1007.200","","0.000","-99.000","-99.000","-99.000","29.600","","23.800",""
"C0R690","2020-05-13 00:00:00","248.000","24.000","2.300","23.400","0.920","983.800","","0.000","7.700","32.000","","30.700","","23.200",""
"C0U720","2020-05-13 00:00:00","1260.000","0.000","0.100","16.400","0.990","888.900","","3.000","-99.000","-99.000","-99.000","22.600","","16.300",""
"C0W140","2020-05-13 00:00:00","21.000","33.000","2.000","22.800","0.830","1012.200","","0.000","-99.000","-99.000","-99.000","28.400","","22.300",""
"C0G660","2020-05-13 00:00:00","27.000","353.000","1.600","25.400","0.870","1011.200","","0.000","-99.000","-99.000","-99.000","29.200","","25.300",""
